Google Finance API,,,,,
Ticker,O,T,AMZN,TSLA,JNJ
priceopen,$67.54,$19.28,"$2,472.00",$903.94,$178.15
price,$67.34,$19.68,"$2,438.28",$913.19,$178.00
change,-$0.33,$0.35,-$46.79,$3.94,-$0.17
changepct,-0.49,1.81,-1.88,0.43,-0.1
high52,$75.40,$25.83,"$3,773.08","$1,243.49",$186.69
low52,$63.90,$16.79,"$2,367.50",$546.98,$155.72
pe,77.69,8.38,58.95,123.41,23.98
eps,$0.87,$2.35,$41.36,$7.40,$7.42
beta,0.75,0.59,1.23,2.11,0.66
